,year,Tave MIR,Tave MPI,Tave NOR,Tmax,Tmax.1,Tmax.2,Tmin,Tmin.1,Tmin.2,city
140,2090-01-01,22.7870967741936,18.7064516129032,21.9322580645161,27.3967741935484,22.9516129032258,27.1451612903226,18.658064516129,14.7677419354839,16.6870967741936,Charleroi
141,2091-01-01,21.3870967741936,18.7064516129032,19.6322580645161,25.9967741935484,22.7516129032258,23.7451612903226,17.258064516129,15.3677419354839,16.3870967741936,Charleroi
142,2092-01-01,21.2870967741936,19.6064516129032,19.9322580645161,26.0967741935484,24.0516129032258,24.2451612903226,16.958064516129,15.4677419354839,15.9870967741935,Charleroi
143,2093-01-01,20.8870967741936,21.5064516129032,23.2322580645161,25.8967741935484,26.4516129032258,28.5451612903226,15.958064516129,16.5677419354839,18.1870967741936,Charleroi
144,2094-01-01,21.2870967741936,22.7064516129032,20.6322580645161,26.0967741935484,27.9516129032258,25.1451612903226,16.958064516129,17.5677419354839,16.5870967741935,Charleroi
145,2095-01-01,21.8870967741936,21.0064516129032,22.6322580645161,26.6967741935484,25.6516129032258,27.0451612903226,17.458064516129,16.7677419354839,18.5870967741935,Charleroi
146,2096-01-01,21.8870967741936,20.3064516129032,21.5322580645161,26.5967741935484,24.9516129032258,26.6451612903226,17.358064516129,16.1677419354839,16.6870967741936,Charleroi
147,2097-01-01,20.9870967741936,19.9064516129032,21.5322580645161,25.5967741935484,24.2516129032258,26.1451612903226,16.758064516129,15.8677419354839,17.1870967741936,Charleroi
148,2098-01-01,21.7870967741936,21.8064516129032,20.9322580645161,26.0967741935484,26.4516129032258,25.2451612903226,17.758064516129,17.4677419354839,16.7870967741936,Charleroi
149,2099-01-01,20.9870967741936,21.4064516129032,21.5322580645161,25.4967741935484,26.0516129032258,26.1451612903226,16.958064516129,17.3677419354839,16.9870967741935,Charleroi
150,2100-01-01,21.1870967741936,22.0064516129032,22.4322580645161,25.4967741935484,27.2516129032258,27.0451612903226,17.358064516129,16.7677419354839,18.1870967741936,Charleroi
151,1950-01-01,19.9,19.9,19.9,24.7,24.7,24.7,15.3,15.3,15.3,Liège
152,1951-01-01,18.4,18.4,18.4,23.0,23.0,23.0,14.1,14.1,14.1,Liège
153,1952-01-01,19.2,19.2,19.2,23.9,23.9,23.9,14.5,14.5,14.5,Liège
154,1953-01-01,17.7,17.7,17.7,21.9,21.9,21.9,13.9,13.9,13.9,Liège
155,1954-01-01,16.1,16.1,16.1,20.3,20.3,20.3,12.7,12.7,12.7,Liège
156,1955-01-01,18.2,18.2,18.2,22.7,22.7,22.7,14.1,14.1,14.1,Liège
157,1956-01-01,15.9,15.9,15.9,19.9,19.9,19.9,12.2,12.2,12.2,Liège
158,1957-01-01,18.3,18.3,18.3,22.8,22.8,22.8,14.2,14.2,14.2,Liège
159,1958-01-01,17.8,17.8,17.8,22.1,22.1,22.1,13.7,13.7,13.7,Liège
160,1959-01-01,19.6,19.6,19.6,24.8,24.8,24.8,14.6,14.6,14.6,Liège
161,1960-01-01,16.9,16.9,16.9,21.2,21.2,21.2,13.1,13.1,13.1,Liège
162,1961-01-01,17.0,17.0,17.0,21.3,21.3,21.3,13.0,13.0,13.0,Liège
163,1962-01-01,16.5,16.5,16.5,21.1,21.1,21.1,12.3,12.3,12.3,Liège
164,1963-01-01,17.1,17.1,17.1,21.3,21.3,21.3,13.4,13.4,13.4,Liège
165,1964-01-01,18.4,18.4,18.4,23.1,23.1,23.1,13.8,13.8,13.8,Liège
166,1965-01-01,15.9,15.9,15.9,19.6,19.6,19.6,12.5,12.5,12.5,Liège
167,1966-01-01,16.6,16.6,16.6,20.8,20.8,20.8,13.0,13.0,13.0,Liège
168,1967-01-01,18.2,18.2,18.2,22.6,22.6,22.6,14.0,14.0,14.0,Liège
169,1968-01-01,16.6,16.6,16.6,20.5,20.5,20.5,13.2,13.2,13.2,Liège
170,1969-01-01,17.6,17.6,17.6,21.5,21.5,21.5,14.1,14.1,14.1,Liège
171,1970-01-01,17.7,17.7,17.7,21.9,21.9,21.9,13.8,13.8,13.8,Liège
172,1971-01-01,17.7,17.7,17.7,21.9,21.9,21.9,13.8,13.8,13.8,Liège
173,1972-01-01,15.7,15.7,15.7,19.3,19.3,19.3,12.7,12.7,12.7,Liège
174,1973-01-01,18.7,18.7,18.7,23.2,23.2,23.2,14.5,14.5,14.5,Liège
175,1974-01-01,16.8,16.8,16.8,21.1,21.1,21.1,12.9,12.9,12.9,Liège
176,1975-01-01,18.6,18.6,18.6,23.1,23.1,23.1,14.4,14.4,14.4,Liège
177,1976-01-01,19.9,19.9,19.9,24.9,24.9,24.9,15.0,15.0,15.0,Liège
178,1977-01-01,16.1,16.1,16.1,19.7,19.7,19.7,13.0,13.0,13.0,Liège
179,1978-01-01,15.6,15.6,15.6,19.5,19.5,19.5,12.3,12.3,12.3,Liège
180,1979-01-01,16.4,16.4,16.4,20.5,20.5,20.5,12.8,12.8,12.8,Liège
181,1980-01-01,15.8,15.8,15.8,19.4,19.4,19.4,12.8,12.8,12.8,Liège
182,1981-01-01,16.2,16.2,16.2,19.9,19.9,19.9,13.0,13.0,13.0,Liège
183,1982-01-01,18.2,18.2,18.2,22.3,22.3,22.3,14.6,14.6,14.6,Liège
184,1983-01-01,19.5,19.5,19.5,24.2,24.2,24.2,15.3,15.3,15.3,Liège
185,1984-01-01,16.5,16.5,16.5,20.7,20.7,20.7,12.7,12.7,12.7,Liège
186,1985-01-01,16.6,16.6,16.6,20.9,20.9,20.9,12.8,12.8,12.8,Liège
187,1986-01-01,17.6,17.6,17.6,21.8,21.8,21.8,13.6,13.6,13.6,Liège
188,1987-01-01,16.0,16.0,16.0,19.5,19.5,19.5,13.0,13.0,13.0,Liège
189,1988-01-01,16.5,16.5,16.5,20.3,20.3,20.3,13.1,13.1,13.1,Liège
190,1989-01-01,18.3,18.3,18.3,22.9,22.9,22.9,14.1,14.1,14.1,Liège
191,1990-01-01,18.2,18.2,18.2,22.8,22.8,22.8,13.7,13.7,13.7,Liège
192,1991-01-01,17.9,17.9,17.9,22.2,22.2,22.2,14.0,14.0,14.0,Liège
193,1992-01-01,18.6,18.6,18.6,22.7,22.7,22.7,14.6,14.6,14.6,Liège
194,1993-01-01,17.2,17.2,17.2,21.6,21.6,21.6,13.3,13.3,13.3,Liège
195,1994-01-01,19.6,19.6,19.6,24.3,24.3,24.3,15.2,15.2,15.2,Liège
196,1995-01-01,18.9,18.9,18.9,23.4,23.4,23.4,14.7,14.7,14.7,Liège
197,1996-01-01,17.2,17.2,17.2,21.5,21.5,21.5,13.2,13.2,13.2,Liège
198,1997-01-01,18.4,18.4,18.4,22.7,22.7,22.7,14.8,14.8,14.8,Liège
199,1998-01-01,17.1,17.1,17.1,21.1,21.1,21.1,13.5,13.5,13.5,Liège
200,1999-01-01,18.6,18.6,18.6,23.1,23.1,23.1,14.4,14.4,14.4,Liège
201,2000-01-01,16.8,16.8,16.8,20.8,20.8,20.8,13.3,13.3,13.3,Liège
202,2001-01-01,18.3,18.3,18.3,22.8,22.8,22.8,14.2,14.2,14.2,Liège
203,2002-01-01,18.2,18.2,18.2,22.3,22.3,22.3,14.7,14.7,14.7,Liège
204,2003-01-01,20.8,20.8,20.8,25.4,25.4,25.4,16.2,16.2,16.2,Liège
205,2004-01-01,17.8,17.8,17.8,22.0,22.0,22.0,14.2,14.2,14.2,Liège
206,2005-01-01,17.9,17.9,17.9,22.3,22.3,22.3,14.0,14.0,14.0,Liège
207,2006-01-01,19.1,19.1,19.1,23.6,23.6,23.6,15.0,15.0,15.0,Liège
208,2007-01-01,17.5,17.5,17.5,21.4,21.4,21.4,14.1,14.1,14.1,Liège
209,2008-01-01,17.8,17.8,17.8,21.8,21.8,21.8,14.2,14.2,14.2,Liège
210,2009-01-01,18.6,18.6,18.6,23.2,23.2,23.2,14.4,14.4,14.4,Liège
211,2010-01-01,19.1,19.1,19.1,23.5,23.5,23.5,14.9,14.9,14.9,Liège
212,2011-01-01,17.1,17.1,17.1,21.2,21.2,21.2,13.6,13.6,13.6,Liège
213,2012-01-01,18.1,18.1,18.1,22.4,22.4,22.4,14.3,14.3,14.3,Liège
214,2013-01-01,19.1,19.1,19.1,23.7,23.7,23.7,14.8,14.8,14.8,Liège
215,2014-01-01,17.7,17.7,17.7,21.8,21.8,21.8,14.2,14.2,14.2,Liège
216,2015-01-01,19.4,19.4,19.4,24.2,24.2,24.2,15.0,15.0,15.0,Liège
